OrderDate,Revenue,Orders,Items
2010-12-01T08:26:00.000000,139.12,1,40
2010-12-01T08:28:00.000000,22.200000000000003,1,12
2010-12-01T08:34:00.000000,348.7800000000001,2,98
2010-12-01T08:35:00.000000,17.85,1,3
2010-12-01T08:45:00.000000,855.86,1,449
2010-12-01T09:00:00.000000,204.0,1,80
2010-12-01T09:01:00.000000,22.200000000000003,1,12
2010-12-01T09:02:00.000000,259.86,1,88
2010-12-01T09:09:00.000000,350.4,1,32
2010-12-01T09:32:00.000000,588.6600000000001,2,200
2010-12-01T09:34:00.000000,22.200000000000003,1,12
2010-12-01T09:37:00.000000,444.98,1,454
2010-12-01T09:41:00.000000,484.78,2,222
2010-12-01T09:45:00.000000,430.59999999999997,1,134
2010-12-01T09:53:00.000000,489.6,1,190
2010-12-01T09:56:00.000000,130.85,1,53
2010-12-01T09:57:00.000000,508.20000000000005,1,236
2010-12-01T09:58:00.000000,3193.92,1,1440
2010-12-01T09:59:00.000000,226.14,1,108
2010-12-01T10:03:00.000000,358.25,1,107
2010-12-01T10:19:00.000000,1825.74,1,1568
2010-12-01T10:29:00.000000,318.14000000000004,1,103
2010-12-01T10:37:00.000000,79.6,1,8
2010-12-01T10:39:00.000000,1024.6800000000003,1,544
2010-12-01T10:47:00.000000,507.8800000000001,1,260
2010-12-01T10:51:00.000000,655.3600000000001,2,162
2010-12-01T10:52:00.000000,448.7600000000001,2,162
2010-12-01T10:53:00.000000,17.4,1,12
2010-12-01T11:21:00.000000,354.2299999999999,1,124
2010-12-01T11:22:00.000000,357.0,1,116
2010-12-01T11:27:00.000000,192.60000000000002,1,97
2010-12-01T11:29:00.000000,471.29999999999995,1,438
2010-12-01T11:32:00.000000,326.4,1,128
2010-12-01T11:33:00.000000,353.14000000000004,1,96
2010-12-01T11:34:00.000000,22.200000000000003,1,12
2010-12-01T11:41:00.000000,783.1099999999999,1,558
2010-12-01T11:45:00.000000,243.2799999999999,1,173
2010-12-01T11:49:00.000000,514.4099999999999,1,220
2010-12-01T11:57:00.000000,390.78999999999985,1,228
2010-12-01T11:58:00.000000,225.7,1,110
2010-12-01T12:03:00.000000,233.45000000000002,1,111
2010-12-01T12:08:00.000000,666.35,2,215
2010-12-01T12:12:00.000000,842.12,1,1004
2010-12-01T12:15:00.000000,440.89,1,329
2010-12-01T12:22:00.000000,312.93999999999994,2,170
2010-12-01T12:23:00.000000,320.24999999999994,2,178
2010-12-01T12:27:00.000000,2474.7399999999993,1,1070
2010-12-01T12:31:00.000000,165.89,1,72
2010-12-01T12:35:00.000000,223.90000000000003,1,102
2010-12-01T12:36:00.000000,95.29,1,39
2010-12-01T12:38:00.000000,155.52,1,216
2010-12-01T12:40:00.000000,295.50000000000006,1,118
2010-12-01T12:43:00.000000,313.48999999999995,1,197
2010-12-01T12:48:00.000000,4.95,1,1
2010-12-01T12:49:00.000000,191.0599999999999,1,86
2010-12-01T12:50:00.000000,203.3,1,112
2010-12-01T12:51:00.000000,70.80000000000001,1,24
2010-12-01T12:54:00.000000,136.24,1,29
2010-12-01T12:58:00.000000,301.24,1,94
2010-12-01T13:04:00.000000,261.48,1,157
2010-12-01T13:17:00.000000,313.9299999999999,1,124
2010-12-01T13:20:00.000000,161.00000000000003,1,38
2010-12-01T13:21:00.000000,201.74999999999997,1,72
2010-12-01T13:23:00.000000,950.09,1,416
2010-12-01T13:24:00.000000,1919.1400000000008,1,1852
2010-12-01T13:31:00.000000,156.09999999999997,1,80
2010-12-01T13:33:00.000000,115.65,1,51
2010-12-01T13:38:00.000000,194.85000000000002,1,71
2010-12-01T13:45:00.000000,165.04999999999998,1,95
2010-12-01T13:51:00.000000,369.50000000000006,1,138
2010-12-01T13:54:00.000000,254.99999999999997,1,146
2010-12-01T14:03:00.000000,487.75,1,160
2010-12-01T14:05:00.000000,555.3799999999999,2,243
2010-12-01T14:11:00.000000,787.4,1,392
2010-12-01T14:34:00.000000,146.60999999999996,1,88
2010-12-01T14:38:00.000000,101.55000000000001,1,71
2010-12-01T14:41:00.000000,537.38,1,199
2010-12-01T14:54:00.000000,215.14999999999998,1,129
2010-12-01T15:00:00.000000,799.4000000000001,1,256
2010-12-01T15:06:00.000000,322.4,1,140
2010-12-01T15:08:00.000000,532.59,3,276
2010-12-01T15:21:00.000000,116.25,1,93
2010-12-01T15:27:00.000000,251.40000000000003,1,132
2010-12-01T15:28:00.000000,5.04,1,12
2010-12-01T15:35:00.000000,662.2899999999998,2,241
2010-12-01T15:37:00.000000,294.61999999999995,1,284
2010-12-01T15:40:00.000000,442.35,1,301
2010-12-01T15:45:00.000000,143.12,1,136
2010-12-01T15:46:00.000000,17.85,1,3
2010-12-01T16:01:00.000000,1552.98,1,858
2010-12-01T16:11:00.000000,2558.4199999999996,1,1122
2010-12-01T16:13:00.000000,497.0,1,388
2010-12-01T16:15:00.000000,279.6,1,104
2010-12-01T16:16:00.000000,315.96000000000004,1,276
2010-12-01T16:17:00.000000,97.2,1,66
2010-12-01T16:19:00.000000,330.0,1,200
2010-12-01T16:21:00.000000,502.03999999999996,2,304
2010-12-01T16:22:00.000000,1132.8000000000002,1,384
2010-12-01T16:24:00.000000,19.9,1,2
2010-12-01T16:25:00.000000,344.2,1,44
2010-12-01T16:33:00.000000,311.81000000000006,1,313
2010-12-01T16:49:00.000000,277.05,1,103
2010-12-01T16:52:00.000000,205.85999999999999,1,74
2010-12-01T16:57:00.000000,159.26,1,81
2010-12-01T16:58:00.000000,39.059999999999995,1,12
2010-12-01T17:15:00.000000,81.75,1,19
2010-12-01T17:22:00.000000,79.5,1,34
2010-12-01T17:24:00.000000,349.15000000000003,1,108
2010-12-01T17:35:00.000000,102.79,1,71
2010-12-02T07:48:00.000000,160.6,1,76
2010-12-02T07:49:00.000000,306.4,1,80
2010-12-02T08:32:00.000000,251.62,1,56
2010-12-02T08:33:00.000000,22.200000000000003,1,12
2010-12-02T08:34:00.000000,163.76000000000002,1,64
2010-12-02T08:40:00.000000,22.200000000000003,1,12
2010-12-02T08:43:00.000000,184.5,1,114
2010-12-02T08:52:00.000000,272.6499999999999,1,107
2010-12-02T09:29:00.000000,303.97,1,93
2010-12-02T09:37:00.000000,38.1,1,30
2010-12-02T09:41:00.000000,244.46000000000004,1,88
2010-12-02T09:42:00.000000,22.200000000000003,1,12
2010-12-02T09:43:00.000000,259.65,1,153
2010-12-02T09:44:00.000000,437.93,3,291
2010-12-02T10:09:00.000000,286.92,1,108
2010-12-02T10:10:00.000000,244.08,1,72
2010-12-02T10:17:00.000000,1875.2399999999998,2,1244
2010-12-02T10:18:00.000000,97.19999999999999,1,48
2010-12-02T10:27:00.000000,485.25,1,741
2010-12-02T10:35:00.000000,350.05999999999995,1,298
2010-12-02T10:39:00.000000,768.38,1,666
2010-12-02T10:45:00.000000,610.64,1,228
2010-12-02T10:46:00.000000,12.600000000000001,1,6
2010-12-02T10:53:00.000000,306.20000000000005,1,64
2010-12-02T10:54:00.000000,230.56000000000003,1,86
2010-12-02T10:55:00.000000,22.200000000000003,1,12
2010-12-02T10:56:00.000000,244.46000000000004,1,88
2010-12-02T10:58:00.000000,22.200000000000003,1,12
2010-12-02T11:02:00.000000,312.79999999999995,1,170
2010-12-02T11:20:00.000000,204.15000000000006,1,105
2010-12-02T11:21:00.000000,193.78,1,159
2010-12-02T11:22:00.000000,572.38,1,246
2010-12-02T11:23:00.000000,106.2,1,36
2010-12-02T11:35:00.000000,235.16,1,165
