StockCode,Description,PriceCategory,TotalRevenue,TotalQuantity,NumberOrders,AveragePrice
23843,"PAPER CRAFT , LITTLE BIRDIE",moyen,168469.6,80995,1,2.08
22423,REGENCY CAKESTAND 3 TIER,premium,142592.94999999963,12402,1703,12.48340104468955
85123A,WHITE HANGING HEART T-LIGHT HOLDER,moyen,87113.24999999888,32597,1953,2.8786815920397304
85099B,JUMBO BAG RED RETROSPOT,moyen,85196.00000000192,46175,1595,2.0093242405455256
23166,MEDIUM CERAMIC TOP STORAGE JAR,bas,81416.72999999995,77916,195,1.22030303030303
POST,POSTAGE,premium,77789.04,3108,1093,31.735626715462033
47566,PARTY BUNTING,premium,68844.33000000037,15291,1379,4.876375358166078
M,Manual,premium,50442.449999999975,212,92,477.02019230769207
23084,RABBIT NIGHT LIGHT,moyen,50218.71000000011,26929,792,1.9910804321728532
79321,CHILLI LIGHTS,premium,46286.50999999999,9650,519,5.428759541984722
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,moyen,41751.800000000054,15460,966,2.897462686567142
22502,PICNIC BASKET WICKER 60 PIECES,premium,39619.5,61,2,649.5
21137,BLACK RECORD COVER FRAME,premium,39064.55000000006,11406,313,3.660536277602524
84879,ASSORTED COLOUR BIRD ORNAMENT,moyen,37359.14000000025,22106,1321,1.690000000000042
22386,JUMBO BAG PINK POLKADOT,moyen,37285.46000000006,20164,870,2.0162317210348495
23284,DOORMAT KEEP CALM AND COME IN,premium,35913.84999999998,5342,648,7.913511450381671
23298,SPOTTY BUNTING,premium,35539.249999999935,7639,1003,4.917935103244748
82484,WOOD BLACK BOARD ANT WHITE FINISH,premium,34478.0100000002,5921,604,7.464141914191353
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,premium,33347.79999999982,7020,1146,4.953615185504646
22960,JAM MAKING SET WITH JARS,premium,32415.170000000013,8067,877,4.185112866817155
85099F,JUMBO BAG STRAWBERRY,moyen,30631.80999999991,16804,652,2.000800604229601
23245,SET OF 3 REGENCY CAKE TINS,premium,26625.67999999985,5856,718,4.932833562585926
23199,JUMBO BAG APPLES,moyen,26426.4799999999,13881,714,2.0505955678670253
22727,ALARM CLOCK BAKELIKE RED ,premium,25925.199999999993,7221,877,3.766707452725249
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,moyen,25507.150000000147,9405,687,2.89594594594597
20685,DOORMAT RED RETROSPOT,premium,25397.84999999999,3901,576,7.759792746113963
21175,GIN + TONIC DIET METAL SIGN,moyen,24854.579999999853,11423,654,2.4642533936651314
22699,ROSES REGENCY TEACUP AND SAUCER ,moyen,24778.750000000262,9117,774,2.8909090909090946
22629,SPACEBOY LUNCH BOX ,moyen,24682.200000000154,13916,701,1.9219665271966777
23355,HOT WATER BOTTLE KEEP CALM,premium,24426.29999999999,5338,719,4.867162162162114
23201,JUMBO BAG ALPHABET,moyen,24166.73999999988,12538,750,2.0528985507246245
21181,PLEASE ONE PERSON METAL SIGN,moyen,23930.92000000009,11963,694,2.072664796633925
22457,NATURAL SLATE HEART CHALKBOARD ,moyen,23793.900000000263,8402,953,2.93426501035194
48138,DOORMAT UNION FLAG,premium,23697.989999999972,3625,516,7.7944230769230565
85099C,JUMBO  BAG BAROQUE BLACK WHITE,moyen,23675.03999999992,12793,649,2.0122306525037876
22112,CHOCOLATE HOT WATER BOTTLE,premium,23624.24000000009,5160,700,4.873865546218441
21915,RED  HARMONICA IN BOX ,bas,23587.290000000005,20891,551,1.239622980251346
22197,POPCORN HOLDER,bas,23179.95000000003,30779,621,0.8298761609907227
23173,REGENCY TEAPOT ROSES ,premium,23073.320000000112,2666,354,9.705872576177248
22138,BAKING SET 9 PIECE RETROSPOT ,premium,23007.550000000083,4797,854,4.988742791234068
48187,DOORMAT NEW ENGLAND,premium,22968.24999999996,3721,531,7.816219739292344
21623,VINTAGE UNION JACK MEMOBOARD,premium,22709.130000000103,3255,205,9.767211538461568
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,moyen,22158.150000000165,8097,592,2.9216171617161977
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,premium,22126.989999999972,4659,384,4.896365979381475
