CustomerID,Recency,Frequency,MonetaryValue,Recency_Score,Frequency_Score,MonetaryValue_Score,RFM_Score,RFM_Segment
15568.0,2.0,3,758.2899999999998,4,3,3,433,Champions
13923.0,53.0,1,351.13000000000005,2,1,2,212,Clients à Réactiver
15944.0,276.0,1,325.1,1,1,2,112,Clients à Réactiver
13686.0,182.0,1,72.0,1,1,1,111,Clients à Réactiver
15143.0,225.0,1,259.45,1,1,1,111,Clients à Réactiver
17447.0,40.0,2,541.53,3,2,2,322,Clients à Réactiver
15228.0,66.0,4,3386.7100000000005,2,3,4,234,Clients Loyaux
17410.0,16.0,5,1214.7199999999996,4,3,3,433,Champions
15252.0,36.0,2,740.7800000000001,3,2,3,323,Clients à Réactiver
13492.0,136.0,3,1269.8400000000006,2,3,3,233,Clients Loyaux
17969.0,166.0,2,228.2,1,2,1,121,Clients à Réactiver
14815.0,36.0,2,778.5,3,2,3,323,Clients à Réactiver
12982.0,242.0,1,390.53999999999996,1,1,2,112,Clients à Réactiver
14208.0,94.0,1,151.73999999999998,2,1,1,211,Clients à Réactiver
16670.0,16.0,11,4095.9000000000024,4,4,4,444,Champions
16609.0,15.0,7,5493.460000000006,4,4,4,444,Champions
17204.0,175.0,4,1564.5600000000002,1,3,3,133,Clients Loyaux
12988.0,292.0,1,535.32,1,1,2,112,Clients à Réactiver
13953.0,7.0,7,3515.6800000000003,4,4,4,444,Champions
13947.0,65.0,1,90.6,2,1,1,211,Clients à Réactiver
14038.0,78.0,3,1560.379999999999,2,3,3,233,Clients Loyaux
17520.0,53.0,1,546.8100000000001,2,1,2,212,Clients à Réactiver
15665.0,168.0,2,2242.0100000000007,1,2,4,124,Clients Potentiels
14287.0,8.0,3,176.63,4,3,1,431,Clients à Réactiver
16266.0,73.0,7,861.8899999999998,2,4,3,243,Clients Loyaux
15240.0,44.0,5,1706.57,3,3,4,334,Champions
16500.0,4.0,6,400.86,4,4,2,442,Clients à Réactiver
17374.0,218.0,2,495.7699999999999,1,2,2,122,Clients à Réactiver
13856.0,168.0,3,388.5,1,3,2,132,Clients à Réactiver
15422.0,323.0,2,97.7,1,2,1,121,Clients à Réactiver
14020.0,16.0,2,642.8000000000001,4,2,2,422,Clients à Réactiver
18272.0,2.0,6,3078.5800000000004,4,4,4,444,Champions
17714.0,320.0,1,153.0,1,1,1,111,Clients à Réactiver
13425.0,108.0,3,1624.2099999999998,2,3,3,233,Clients Loyaux
15920.0,154.0,4,167.49999999999997,1,3,1,131,Clients à Réactiver
16852.0,10.0,2,144.91,4,2,1,421,Clients à Réactiver
12994.0,4.0,3,974.42,4,3,3,433,Champions
14894.0,85.0,1,655.7499999999999,2,1,2,212,Clients à Réactiver
16451.0,87.0,1,266.97,2,1,1,211,Clients à Réactiver
17265.0,138.0,2,562.8999999999997,2,2,2,222,Clients à Réactiver
15246.0,238.0,2,514.1500000000001,1,2,2,122,Clients à Réactiver
16949.0,3.0,6,1286.27,4,4,3,443,Champions
15835.0,44.0,4,954.0899999999996,3,3,3,333,Champions
14542.0,185.0,1,103.25000000000001,1,1,1,111,Clients à Réactiver
13607.0,40.0,1,678.0099999999996,3,1,3,313,Clients à Réactiver
12885.0,63.0,3,1175.2199999999996,2,3,3,233,Clients Loyaux
15592.0,46.0,1,388.58,3,1,2,312,Clients à Réactiver
18260.0,172.0,6,2643.2000000000003,1,4,4,144,Clients Loyaux
12733.0,234.0,1,383.95,1,1,2,112,Clients à Réactiver
14299.0,8.0,9,3965.6199999999953,4,4,4,444,Champions
16658.0,368.0,1,123.24,1,1,1,111,Clients à Réactiver
17580.0,252.0,3,215.72000000000003,1,3,1,131,Clients à Réactiver
13340.0,45.0,7,10736.47999999999,3,4,4,344,Champions
12739.0,78.0,2,1013.0400000000001,2,2,3,223,Clients Potentiels
16096.0,264.0,1,320.62,1,1,2,112,Clients à Réactiver
18127.0,19.0,3,348.7299999999999,3,3,2,332,Clients à Réactiver
17787.0,152.0,4,1865.1899999999994,1,3,4,134,Clients Loyaux
13850.0,129.0,1,1595.4799999999996,2,1,3,213,Clients Potentiels
15671.0,18.0,7,2657.1300000000006,3,4,4,344,Champions
13601.0,45.0,2,693.3200000000002,3,2,3,323,Clients à Réactiver
18139.0,17.0,6,8438.339999999997,3,4,4,344,Champions
14967.0,49.0,1,463.8,3,1,2,312,Clients à Réactiver
18066.0,75.0,1,318.0,2,1,2,212,Clients à Réactiver
15513.0,33.0,19,14758.219999999998,3,4,4,344,Champions
18078.0,217.0,2,336.13,1,2,2,122,Clients à Réactiver
18042.0,53.0,1,165.04999999999998,2,1,1,211,Clients à Réactiver
17095.0,22.0,3,1324.159999999999,3,3,3,333,Champions
14712.0,29.0,3,917.07,3,3,3,333,Champions
18224.0,263.0,1,158.95000000000002,1,1,1,111,Clients à Réactiver
13061.0,72.0,1,248.61,2,1,1,211,Clients à Réactiver
17908.0,373.0,1,243.2799999999999,1,1,1,111,Clients à Réactiver
17495.0,7.0,2,497.56000000000006,4,2,2,422,Clients à Réactiver
16779.0,2.0,22,10629.719999999988,4,4,4,444,Champions
12818.0,261.0,1,1542.08,1,1,3,113,Clients Potentiels
16272.0,116.0,1,411.7000000000001,2,1,2,212,Clients à Réactiver
17022.0,31.0,1,71.0,3,1,1,311,Clients à Réactiver
15507.0,171.0,1,492.35999999999996,1,1,2,112,Clients à Réactiver
14803.0,162.0,3,845.5500000000002,1,3,3,133,Clients Loyaux
14214.0,30.0,5,1004.3799999999997,3,3,3,333,Champions
14196.0,106.0,1,335.52,2,1,2,212,Clients à Réactiver
15598.0,53.0,1,240.68,2,1,1,211,Clients à Réactiver
15398.0,16.0,2,1345.5299999999997,4,2,3,423,Clients à Réactiver
14105.0,239.0,1,1266.2300000000002,1,1,3,113,Clients Potentiels
12976.0,211.0,1,738.6,1,1,3,113,Clients Potentiels
13668.0,2.0,21,6363.589999999984,4,4,4,444,Champions
13510.0,1.0,4,1791.5599999999984,4,3,4,434,Champions
15076.0,172.0,1,880.8500000000004,1,1,3,113,Clients Potentiels
13176.0,46.0,1,492.8400000000001,3,1,2,312,Clients à Réactiver
14554.0,10.0,4,2381.040000000002,4,3,4,434,Champions
13929.0,169.0,2,842.6500000000001,1,2,3,123,Clients Potentiels
13589.0,14.0,2,379.65000000000003,4,2,2,422,Clients à Réactiver
15410.0,84.0,8,3450.8400000000015,2,4,4,244,Clients Loyaux
13522.0,30.0,1,125.80000000000001,3,1,1,311,Clients à Réactiver
14451.0,60.0,2,662.5900000000001,2,2,2,222,Clients à Réactiver
13862.0,18.0,8,2209.360000000001,3,4,4,344,Champions
18102.0,0.0,60,259657.30000000005,4,4,4,444,Champions
16755.0,114.0,3,1496.8300000000004,2,3,3,233,Clients Loyaux
16828.0,93.0,2,128.5,2,2,1,221,Clients à Réactiver
18248.0,122.0,2,804.02,2,2,3,223,Clients Potentiels
12569.0,2.0,32,4124.69,4,4,4,444,Champions
16102.0,42.0,3,1842.1400000000003,3,3,4,334,Champions
16181.0,73.0,1,305.5400000000001,2,1,1,211,Clients à Réactiver
17180.0,56.0,4,796.0300000000002,2,3,3,233,Clients Loyaux
15756.0,61.0,4,532.9599999999995,2,3,2,232,Clients à Réactiver
18005.0,3.0,2,249.71999999999989,4,2,1,421,Clients à Réactiver
12812.0,44.0,1,229.63999999999993,3,1,1,311,Clients à Réactiver
16278.0,100.0,1,566.3799999999999,2,1,2,212,Clients à Réactiver
15841.0,72.0,4,1224.0600000000004,2,3,3,233,Clients Loyaux
17325.0,280.0,1,96.8,1,1,1,111,Clients à Réactiver
17920.0,4.0,17,4204.0999999999885,4,4,4,444,Champions
13322.0,17.0,1,199.48,3,1,1,311,Clients à Réactiver
15416.0,64.0,4,3984.3199999999993,2,3,4,234,Clients Loyaux
15483.0,161.0,4,233.81000000000006,1,3,1,131,Clients à Réactiver
12721.0,31.0,6,2656.130000000001,3,4,4,344,Champions
16011.0,8.0,16,3362.7100000000023,4,4,4,444,Champions
15744.0,77.0,1,34.8,2,1,1,211,Clients à Réactiver
13158.0,94.0,4,1201.0600000000004,2,3,3,233,Clients Loyaux
16682.0,4.0,5,1027.9999999999998,4,3,3,433,Champions
16017.0,47.0,1,211.87999999999994,3,1,1,311,Clients à Réactiver
13255.0,9.0,2,399.51,4,2,2,422,Clients à Réactiver
12891.0,185.0,3,331.0,1,3,2,132,Clients à Réactiver
12642.0,25.0,3,1013.26,3,3,3,333,Champions
17386.0,7.0,6,2686.42,4,4,4,444,Champions
12454.0,56.0,1,3528.34,2,1,4,214,Clients Potentiels
16621.0,51.0,4,813.4800000000002,2,3,3,233,Clients Loyaux
14032.0,2.0,11,2975.5900000000006,4,4,4,444,Champions
15938.0,112.0,5,404.58,2,3,2,232,Clients à Réactiver
14730.0,1.0,8,2005.0600000000063,4,4,4,444,Champions
12630.0,9.0,2,1270.8799999999999,4,2,3,423,Clients à Réactiver
17556.0,205.0,1,157.9,1,1,1,111,Clients à Réactiver
17010.0,18.0,1,195.36,3,1,1,311,Clients à Réactiver
15058.0,25.0,11,2124.9900000000025,3,4,4,344,Champions
14536.0,259.0,1,171.8,1,1,1,111,Clients à Réactiver
12830.0,37.0,6,6814.640000000001,3,4,4,344,Champions
16193.0,236.0,1,314.45,1,1,2,112,Clients à Réactiver
17277.0,227.0,2,1065.3500000000001,1,2,3,123,Clients Potentiels
14621.0,1.0,5,1788.36,4,3,4,434,Champions
14360.0,31.0,4,2128.23,3,3,4,334,Champions
13249.0,92.0,3,711.41,2,3,3,233,Clients Loyaux
17301.0,21.0,1,197.6300000000001,3,1,1,311,Clients à Réactiver
14888.0,207.0,1,369.2,1,1,2,112,Clients à Réactiver
17957.0,66.0,1,111.67999999999998,2,1,1,211,Clients à Réactiver
17799.0,22.0,10,3055.9299999999967,3,4,4,344,Champions
14645.0,156.0,2,597.09,1,2,2,122,Clients à Réactiver
16363.0,53.0,1,109.36000000000001,2,1,1,211,Clients à Réactiver
17459.0,43.0,2,657.3,3,2,2,322,Clients à Réactiver
17738.0,19.0,4,1879.0500000000002,3,3,4,334,Champions
15149.0,133.0,1,520.8,2,1,2,212,Clients à Réactiver
15677.0,49.0,1,657.23,3,1,2,312,Clients à Réactiver
13334.0,82.0,3,3536.819999999998,2,3,4,234,Clients Loyaux
15932.0,4.0,8,2495.870000000001,4,4,4,444,Champions
16369.0,18.0,3,1553.66,3,3,3,333,Champions
16284.0,31.0,2,823.9699999999996,3,2,3,323,Clients à Réactiver
16718.0,369.0,1,623.7500000000002,1,1,2,112,Clients à Réactiver
13692.0,24.0,3,1488.3200000000004,3,3,3,333,Champions
16803.0,65.0,1,332.29999999999995,2,1,2,212,Clients à Réactiver
12472.0,32.0,7,6572.110000000003,3,4,4,344,Champions
13844.0,11.0,1,361.62,4,1,2,412,Clients à Réactiver
12897.0,204.0,2,216.5,1,2,1,121,Clients à Réactiver
17362.0,239.0,2,312.22999999999996,1,2,2,122,Clients à Réactiver
12727.0,10.0,7,3980.7000000000003,4,4,4,444,Champions
13067.0,82.0,1,115.46000000000002,2,1,1,211,Clients à Réactiver
12484.0,32.0,6,4541.720000000001,3,4,4,344,Champions
15574.0,177.0,4,702.2500000000001,1,3,3,133,Clients Loyaux
